이름,지역,클래스,카테고리,국공립/시립,비용,연방문인원
국립중앙박물관,서울특별시,문화시설,박물관,국립,,3354161.0
국립민속박물관,서울특별시,문화시설,박물관,국립,무료,2286276.0
대한민국역사박물관,서울특별시,문화시설,박물관,국립,무료,1058886.0
국립한글박물관,서울특별시,문화시설,박물관,국립,무료,776570.0
국립국악원 국악박물관,서울특별시,문화시설,박물관,국립,무료,41218.0
국립극장 공연예술박물관,서울특별시,문화시설,박물관,국립,무료,8373.0
한국영화박물관,서울특별시,문화시설,박물관,국립,무료,78337.0
국립고궁박물관,서울특별시,문화시설,박물관,국립,1000,1118081.0
석조전 대한제국역사관,서울특별시,문화시설,박물관,국립,무료,2413596.0
육군박물관,서울특별시,문화시설,박물관,국립,,63800.0
국토발전전시관,서울특별시,문화시설,박물관,국립,무료,83847.0
국립경찰박물관,서울특별시,문화시설,박물관,국립,,302008.0
국립관세박물관,서울특별시,문화시설,박물관,국립,,3186.0
국회 헌정기념관,서울특별시,문화시설,박물관,국립,,280698.0
둘리뮤지엄,서울특별시,문화시설,박물관,공립,,75160.0
서대문자연사박물관,서울특별시,문화시설,박물관,공립,,289031.0
서대문형무소역사관,서울특별시,문화시설,박물관,공립,,1014559.0
서울교육박물관,서울특별시,문화시설,박물관,공립,,129712.0
서울상상나라,서울특별시,문화시설,박물관,공립,,499367.0
서울약령시한의약박물관,서울특별시,문화시설,박물관,공립,,76985.0
서울역사박물관,서울특별시,문화시설,박물관,공립,무료,1058981.0
성북선잠박물관,서울특별시,문화시설,박물관,공립,무료,12000.0
손기정기념관,서울특별시,문화시설,박물관,공립,무료,11869.0
수도박물관,서울특별시,문화시설,박물관,공립,무료,143935.0
암사동선사유적박물관,서울특별시,문화시설,박물관,공립,,120358.0
은평역사한옥박물관,서울특별시,문화시설,박물관,공립,무료,73763.0
청계천박물관,서울특별시,문화시설,박물관,공립,,175697.0
한성백제박물관,서울특별시,문화시설,박물관,공립,,788010.0
허준박물관,서울특별시,문화시설,박물관,공립,,72888.0
송파책박물관,서울특별시,문화시설,박물관,공립,,196588.0
서울우리소리박물관,서울특별시,문화시설,박물관,공립,,8890.0
가회민화박물관,서울특별시,문화시설,박물관,사립,,14299.0
경기여자고등학교 경운박물관,서울특별시,문화시설,박물관,사립,,5000.0
고촌이종근기념관,서울특별시,문화시설,박물관,사립,,3250.0
관문사 성보박물관,서울특별시,문화시설,박물관,사립,,2000.0
그레뱅뮤지엄,서울특별시,문화시설,박물관,사립,,72270.0
기생충박물관,서울특별시,문화시설,박물관,사립,무료,15000.0
김달진미술자료박물관,서울특별시,문화시설,박물관,사립,,2400.0
농협 농업박물관,서울특별시,문화시설,박물관,사립,,261308.0
도산안창호기념관,서울특별시,문화시설,박물관,사립,,58879.0
떡박물관,서울특별시,문화시설,박물관,사립,,24904.0
롯데월드민속박물관,서울특별시,문화시설,박물관,사립,,240000.0
명인박물관,서울특별시,문화시설,박물관,사립,,600.0
목인박물관 목석원,서울특별시,문화시설,박물관,사립,,1767.0
뮤지엄김치간,서울특별시,문화시설,박물관,사립,무료,36389.0
박을복자수박물관,서울특별시,문화시설,박물관,사립,,800.0
배재학당역사박물관,서울특별시,문화시설,박물관,사립,무료,105780.0
백범김구기념관,서울특별시,문화시설,박물관,사립,무료,198196.0
보나장신구박물관,서울특별시,문화시설,박물관,사립,,100.0
북촌동양문화박물관,서울특별시,문화시설,박물관,사립,,19006.0
북촌박물관,서울특별시,문화시설,박물관,사립,,5500.0
북촌생활사박물관,서울특별시,문화시설,박물관,사립,,6155.0
불교중앙박물관,서울특별시,문화시설,박물관,사립,,21365.0
브이센터 더 라이브 뮤지엄,서울특별시,문화시설,박물관,사립,,34088.0
삼성출판박물관,서울특별시,문화시설,박물관,사립,,765.0
샬트르 성 바오로 수녀회 역사박물관,서울특별시,문화시설,박물관,사립,,1453.0
서울대학교병원 의학박물관,서울특별시,문화시설,박물관,사립,,16780.0
세계골프역사박물관,서울특별시,문화시설,박물관,사립,,2005.0
다문화박물관,서울특별시,문화시설,박물관,사립,,22090.0
세계장신구박물관,서울특별시,문화시설,박물관,사립,,5000.0
쉼박물관,서울특별시,문화시설,박물관,사립,,614.0
신문박물관 PRESSEUM,서울특별시,문화시설,박물관,사립,,28000.0
영인문학관,서울특별시,문화시설,박물관,사립,,1600.0
우리옛돌박물관,서울특별시,문화시설,박물관,사립,,18229.0
우리은행 은행사박물관,서울특별시,문화시설,박물관,사립,,15507.0
우석뮤지엄,서울특별시,문화시설,박물관,사립,,3000.0
유금와당박물관,서울특별시,문화시설,박물관,사립,,3207.0
이한열기념관,서울특별시,문화시설,박물관,사립,,3807.0
이화박물관,서울특별시,문화시설,박물관,사립,,24000.0
인도박물관,서울특별시,문화시설,박물관,사립,,4500.0
전기박물관,서울특별시,문화시설,박물관,사립,,77844.0
전쟁과여성인권박물관,서울특별시,문화시설,박물관,사립,무료,22253.0
전쟁기념관,서울특별시,문화시설,박물관,사립,,2379672.0
종이나라박물관,서울특별시,문화시설,박물관,사립,무료,20000.0
짚풀생활사박물관,서울특별시,문화시설,박물관,사립,,3888.0
초전섬유·퀼트박물관,서울특별시,문화시설,박물관,사립,,1399.0
춘원당한방박물관,서울특별시,문화시설,박물관,사립,,6540.0
코리아나 화장박물관,서울특별시,문화시설,박물관,사립,,10133.0
탄허기념불교박물관,서울특별시,문화시설,박물관,사립,,8000.0
피규어뮤지엄W,서울특별시,문화시설,박물관,사립,,30000.0
한국가구박물관,서울특별시,문화시설,박물관,사립,,12161.0
한국광고박물관,서울특별시,문화시설,박물관,사립,,8708.0
한국금융사박물관,서울특별시,문화시설,박물관,사립,,25331.0
한국색동박물관,서울특별시,문화시설,박물관,사립,,1340.0
한국은행 화폐박물관,서울특별시,문화시설,박물관,사립,무료,232092.0
한국잡지박물관,서울특별시,문화시설,박물관,사립,,476.0
한국천주교순교자박물관,서울특별시,문화시설,박물관,사립,,100000.0
한국현대문학관,서울특별시,문화시설,박물관,사립,,7500.0
한무숙문학관,서울특별시,문화시설,박물관,사립,,2200.0
한익환서울아트박물관,서울특별시,문화시설,박물관,사립,,2402.0
혜곡최순우기념관,서울특별시,문화시설,박물관,사립,,15553.0
호림박물관(신림본관),서울특별시,문화시설,박물관,사립,,2633.0
호림박물관(신사분관),서울특별시,문화시설,박물관,사립,2000,4167.0
화정박물관,서울특별시,문화시설,박물관,사립,,3513.0
평강성서유물박물관,서울특별시,문화시설,박물관,사립,,1767.0
간송박물관,서울특별시,문화시설,박물관,사립,,40035.0
꼭두박물관(휴관),서울특별시,문화시설,박물관,사립,,
쇳대박물관(휴관),서울특별시,문화시설,박물관,사립,,6000.0
서울올림픽기념관,서울특별시,문화시설,박물관,사립,,0.0
안중근의사기념관,서울특별시,문화시설,박물관,사립,,128092.0
건국대학교 박물관,서울특별시,문화시설,박물관,대학,,17311.0
경희대학교 자연사박물관,서울특별시,문화시설,박물관,대학,,15000.0
경희대학교 중앙박물관,서울특별시,문화시설,박물관,대학,,2886.0
고려대학교박물관,서울특별시,문화시설,박물관,대학,,40822.0
국민대학교 박물관,서울특별시,문화시설,박물관,대학,,12302.0
덕성여자대학교 박물관,서울특별시,문화시설,박물관,대학,,58000.0
동국대학교 박물관,서울특별시,문화시설,박물관,대학,,3850.0
동덕여자대학교발물관,서울특별시,문화시설,박물관,대학,,6000.0
삼육대학교 박물관,서울특별시,문화시설,박물관,대학,,5000.0
상명대학교 박물관,서울특별시,문화시설,박물관,대학,,2323.0
서울대학교 치의학대학원 치의학박물관,서울특별시,문화시설,박물관,대학,,460.0
서울대학교 박물관,서울특별시,문화시설,박물관,대학,,38496.0
서울시립대학교 박물관,서울특별시,문화시설,박물관,대학,,4416.0
서울여자대학교 박물관,서울특별시,문화시설,박물관,대학,,5000.0
성균관대학교 박물관,서울특별시,문화시설,박물관,대학,,15000.0
성신여자대학교 박물관,서울특별시,문화시설,박물관,대학,,1545.0
성신여자대학교 자연사박물관,서울특별시,문화시설,박물관,대학,,2678.0
성신여자대학교 정원박광훈복식박물관,서울특별시,문화시설,박물관,대학,,1845.0
세종대학교 박물관,서울특별시,문화시설,박물관,대학,,1807.0
숭실대학교 한국기독교박물관,서울특별시,문화시설,박물관,대학,무료,15356.0
연세대학교 박물관,서울특별시,문화시설,박물관,대학,,43000.0
이화여자대학교 박물관,서울특별시,문화시설,박물관,대학,,59236.0
이화여자대학교 자연사박물관,서울특별시,문화시설,박물관,대학,,18406.0
한양대학교 박물관,서울특별시,문화시설,박물관,대학,,46119.0
홍익대학교 박물관,서울특별시,문화시설,박물관,대학,,3000.0
숙명여자대학교 박물관,서울특별시,문화시설,박물관,대학,,1500.0
숙명여자대학교 정영양자수박물관,서울특별시,문화시설,박물관,대학,,1000.0
경희대학교 한의학역사박물관(휴관),서울특별시,문화시설,박물관,대학,,
국립일제강제동원역사관,부산광역시,문화시설,박물관,국립,,195949.0
국립해양박물관,부산광역시,문화시설,박물관,국립,1000,1230264.0
동삼동패총전시관,부산광역시,문화시설,박물관,공립,X,48410.0
복천박물관,부산광역시,문화시설,박물관,공립,,142303.0
부산근대역사관,부산광역시,문화시설,박물관,공립,,146616.0
부산박물관,부산광역시,문화시설,박물관,공립,,209296.0
부산시민공원역사관,부산광역시,문화시설,박물관,공립,,62984.0
부산어촌민속관,부산광역시,문화시설,박물관,공립,,101576.0
부산영화체험박물관,부산광역시,문화시설,박물관,공립,무료,179595.0
부산해양자연사박물관,부산광역시,문화시설,박물관,공립,"1,000~2,000",200945.0
사상생활사박물관,부산광역시,문화시설,박물관,공립,,15990.0
임시수도기념관,부산광역시,문화시설,박물관,공립,,62487.0
정관박물관,부산광역시,문화시설,박물관,공립,,109687.0
록봉민속교육박물관,부산광역시,문화시설,박물관,사립,,36000.0
범어사 성보박물관,부산광역시,문화시설,박물관,사립,,56000.0
부산포민속박물관,부산광역시,문화시설,박물관,사립,,9954.0
오륜대 한국순교자박물관,부산광역시,문화시설,박물관,사립,,12000.0
유엔평화기념관,부산광역시,문화시설,박물관,사립,,126626.0
한국기독교선교박물관,부산광역시,문화시설,박물관,사립,,8500.0
한국거래소 자본시장역사박물관,부산광역시,문화시설,박물관,사립,무료,18038.0
경성대학교 박물관,부산광역시,문화시설,박물관,대학,,8790.0
동아대학교 석당박물관,부산광역시,문화시설,박물관,대학,무료,111186.0
동의대학교 박물관,부산광역시,문화시설,박물관,대학,,1722.0
동주대학교 석파박물관,부산광역시,문화시설,박물관,대학,,800.0
부경대학교 박물관,부산광역시,문화시설,박물관,대학,,16453.0
부산과학기술대학교 민속자료실 박물관,부산광역시,문화시설,박물관,대학,,1426.0
부산대학교 박물관,부산광역시,문화시설,박물관,대학,,12357.0
신라대학교 박물관,부산광역시,문화시설,박물관,대학,,3304.0
부산여자대학교 한국차박물관,부산광역시,문화시설,박물관,대학,,1200.0
한국해양대학교 박물관,부산광역시,문화시설,박물관,대학,,1938.0
부산교육대학교 한새뮤지엄(교육박물관),부산광역시,문화시설,박물관,대학,,15000.0
국립대구박물관,대구광역시,문화시설,박물관,국립,무료,548808.0
국채보상운동기념관,대구광역시,문화시설,박물관,공립,O,64200.0
대구교육박물관,대구광역시,문화시설,박물관,공립,,62451.0
대구근대역사관,대구광역시,문화시설,박물관,공립,무료,90030.0
대구향토역사관,대구광역시,문화시설,박물관,공립,,61189.0
방짜유기박물관,대구광역시,문화시설,박물관,공립,,175000.0
약령시한의약박물관,대구광역시,문화시설,박물관,공립,무료,121350.0
대구섬유박물관,대구광역시,문화시설,박물관,공립,,72855.0
농경생활사박물관,대구광역시,문화시설,박물관,사립,,81000.0
박물관 수,대구광역시,문화시설,박물관,사립,,3500.0
자연염색박물관,대구광역시,문화시설,박물관,사립,,2326.0
전통산업박물관,대구광역시,문화시설,박물관,사립,,1250.0
대구은행금융박물관,대구광역시,문화시설,박물관,사립,,7373.0
경북대학교 박물관,대구광역시,문화시설,박물관,대학,무료,29804.0
계명대학교 행소박물관,대구광역시,문화시설,박물관,대학,,48586.0
대구보건대학교 인당뮤지엄,대구광역시,문화시설,박물관,대학,,11796.0
강화역사박물관,인천광역시,문화시설,박물관,공립,,181172.0
강화자연사박물관,인천광역시,문화시설,박물관,공립,,156103.0
강화전쟁박물관,인천광역시,문화시설,박물관,공립,,74399.0
검단선사박물관,인천광역시,문화시설,박물관,공립,,41193.0
인천광역시 서구 녹청자박물관,인천광역시,문화시설,박물관,공립,,39912.0
부평역사박물관,인천광역시,문화시설,박물관,공립,,90739.0
소래역사관,인천광역시,문화시설,박물관,공립,,47342.0
수도국산달동네박물관,인천광역시,문화시설,박물관,공립,,103062.0
영종역사관,인천광역시,문화시설,박물관,공립,,40967.0
인천광역시 시립박물관,인천광역시,문화시설,박물관,공립,무료,99406.0
인천개항박물관,인천광역시,문화시설,박물관,공립,,93167.0
인천도시역사관,인천광역시,문화시설,박물관,공립,,140266.0
짜장면박물관,인천광역시,문화시설,박물관,공립,,207008.0
한국근대문학관,인천광역시,문화시설,박물관,공립,,31150.0
한국이민사박물관,인천광역시,문화시설,박물관,공립,무료,98510.0
가천박물관,인천광역시,문화시설,박물관,사립,,12642.0
국제성서박물관,인천광역시,문화시설,박물관,사립,,5000.0
범패민속문화박물관,인천광역시,문화시설,박물관,사립,,4000.0
옥토끼우주센터,인천광역시,문화시설,박물관,사립,,174840.0
애보박물관,인천광역시,문화시설,박물관,사립,,40486.0
인천어린이박물관,인천광역시,문화시설,박물관,사립,,70000.0
인천학생6.25참전관,인천광역시,문화시설,박물관,사립,,63900.0
재미난박물관,인천광역시,문화시설,박물관,사립,,3000.0
초연다구박물관,인천광역시,문화시설,박물관,사립,,2000.0
한국선교역사기념관,인천광역시,문화시설,박물관,사립,,5634.0
한국전통음식박물관,인천광역시,문화시설,박물관,사립,,40486.0
혜명단청박물관,인천광역시,문화시설,박물관,사립,,2000.0
인하대학교 박물관,인천광역시,문화시설,박물관,대학,,1570.0
국립광주박물관,광주광역시,문화시설,박물관,국립,무료,567047.0
아시아문화박물관,광주광역시,문화시설,박물관,국립,,422553.0
광주광역시립민속박물관,광주광역시,문화시설,박물관,공립,,53879.0
광주김치박물관,광주광역시,문화시설,박물관,공립,,101732.0
남도향토음식박물관,광주광역시,문화시설,박물관,공립,,31605.0
비움박물관,광주광역시,문화시설,박물관,사립,,6000.0
한국미용박물관,광주광역시,문화시설,박물관,사립,,21000.0
KJB금융박물관,광주광역시,문화시설,박물관,사립,,6620.0
광주교육대학교 교육박물관,광주광역시,문화시설,박물관,대학,,8918.0
전남대학교 박물관,광주광역시,문화시설,박물관,대학,,7801.0
전남대학교 의학박물관,광주광역시,문화시설,박물관,대학,,870.0
조선대학교 박물관,광주광역시,문화시설,박물관,대학,,2889.0
대전시립박물관,대전광역시,문화시설,박물관,공립,,49899.0
선사박물관,대전광역시,문화시설,박물관,공립,,26527.0
한밭교육박물관,대전광역시,문화시설,박물관,공립,,27189.0
한국족보박물관,대전광역시,문화시설,박물관,공립,,199252.0
옛터민속박물관,대전광역시,문화시설,박물관,사립,,80000.0
한국수자원공사 대청댐물문화관,대전광역시,문화시설,박물관,사립,,233023.0
한국조폐공사 화폐박물관,대전광역시,문화시설,박물관,사립,무료,116913.0
한국지질자원연구원 지질박물관,대전광역시,문화시설,박물관,사립,무료,54081.0
대전대학교박물관,대전광역시,문화시설,박물관,대학,,3482.0
배재대학교 박물관,대전광역시,문화시설,박물관,대학,,1895.0
충남대학교 박물관,대전광역시,문화시설,박물관,대학,,7000.0
충남대학교 자연사박물관,대전광역시,문화시설,박물관,대학,,4030.0
한남대학교 자연사박물관,대전광역시,문화시설,박물관,대학,,10000.0
한남대학교 중앙박물관,대전광역시,문화시설,박물관,대학,,6542.0
KAIST 비전관,대전광역시,문화시설,박물관,대학,,36784.0
충렬공박제상기념관,울산광역시,문화시설,박물관,공립,,31490.0
울산박물관,울산광역시,문화시설,박물관,공립,,170606.0
울산대곡박물관,울산광역시,문화시설,박물관,공립,,49923.0
울산암각화박물관,울산광역시,문화시설,박물관,공립,,100244.0
울산옹기박물관,울산광역시,문화시설,박물관,공립,,50285.0
울주민속박물관,울산광역시,문화시설,박물관,공립,,37193.0
외솔기념관,울산광역시,문화시설,박물관,공립,,55275.0
장생포고래박물관,울산광역시,문화시설,박물관,공립,,253448.0
울산해양박물관,울산광역시,문화시설,박물관,사립,,17920.0
울산대학교박물관,울산광역시,문화시설,박물관,대학,,8220.0
국립조세박물관,세종특별자치시,문화시설,박물관,국립,,32099.0
세종시립민속박물관,세종특별자치시,문화시설,박물관,공립,,13748.0
충청남도산림박물관,세종특별자치시,문화시설,박물관,공립,,215920.0
교과서박물관,세종특별자치시,문화시설,박물관,사립,,22425.0
세종전통장류박물관,세종특별자치시,문화시설,박물관,사립,,19000.0
한국여인생활사박물관,세종특별자치시,문화시설,박물관,사립,,9000.0
연기향토박물관,세종특별자치시,문화시설,박물관,사립,,7500.0
국립6.25전쟁납북자기념관,경기도,문화시설,박물관,국립,무료,49623.0
국립수목원 산림박물관,경기도,문화시설,박물관,국립,무료,293568.0
국립여성사전시관,경기도,문화시설,박물관,국립,,55986.0
세종대왕역사문화관,경기도,문화시설,박물관,국립,,315613.0
지도박물관,경기도,문화시설,박물관,국립,,40582.0
고양가와지볍씨박물관,경기도,문화시설,박물관,공립,,20000.0
고구려대장간마을,경기도,문화시설,박물관,공립,,58340.0
고양어린이박물관,경기도,문화시설,박물관,공립,,262000.0
과천시 추사박물관,경기도,문화시설,박물관,공립,,21498.0
경기도박물관,경기도,문화시설,박물관,공립,,185748.0
경기도어린이박물관,경기도,문화시설,박물관,공립,,605297.0
경기도자박물관,경기도,문화시설,박물관,공립,,74365.0
김중업건축박물관,경기도,문화시설,박물관,공립,무료,48539.0
남양주시립박물관,경기도,문화시설,박물관,공립,,59201.0
동두천시 경기북부어린이박물관,경기도,문화시설,박물관,공립,,151797.0
명성황후기념관,경기도,문화시설,박물관,공립,,110657.0
몽양기념관,경기도,문화시설,박물관,공립,,12968.0
부천교육박물관,경기도,문화시설,박물관,공립,,15483.0
부천수석박물관,경기도,문화시설,박물관,공립,,11468.0
부천옹기박물관,경기도,문화시설,박물관,공립,,21982.0
부천유럽자기박물관,경기도,문화시설,박물관,공립,,11426.0
부천자연생태박물관,경기도,문화시설,박물관,공립,,341735.0
부천펄벅기념관,경기도,문화시설,박물관,공립,,17078.0
부천활박물관,경기도,문화시설,박물관,공립,,17683.0
수원박물관,경기도,문화시설,박물관,공립,,123853.0
수원화성박물관,경기도,문화시설,박물관,공립,무료,348250.0
수원광교박물관,경기도,문화시설,박물관,공립,,115242.0
성호기념관,경기도,문화시설,박물관,공립,,35640.0
세미원연꽃박물관,경기도,문화시설,박물관,공립,,474303.0
시흥오이도박물관,경기도,문화시설,박물관,공립,,137512.0
실학박물관,경기도,문화시설,박물관,공립,무료,202285.0
안산어촌민속박물관,경기도,문화시설,박물관,공립,,46441.0
안산향토사박물관,경기도,문화시설,박물관,공립,,35453.0
안성맞춤박물관,경기도,문화시설,박물관,공립,,42427.0
안성3.1운동기념관,경기도,문화시설,박물관,공립,,88337.0
안양박물관,경기도,문화시설,박물관,공립,무료,63733.0
양주시립회암사지박물관,경기도,문화시설,박물관,공립,무료,216161.0
양평곤충박물관,경기도,문화시설,박물관,공립,,69169.0
양평친환경농업박물관,경기도,문화시설,박물관,공립,,77362.0
여주박물관,경기도,문화시설,박물관,공립,,117745.0
여주시립폰박물관,경기도,문화시설,박물관,공립,무료,18000.0
용인시박물관,경기도,문화시설,박물관,공립,,32837.0
유엔군 초전기념관,경기도,문화시설,박물관,공립,,28455.0
